mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn__activation,param_nn__alpha,param_nn__batch_size,param_nn__hidden_layer_sizes,param_nn__learning_rate_init,param_nn__max_iter,param_nn__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1816.9020970344543,236.8228975316997,1.140662956237793,0.1463457217633469,relu,5e-05,32,"(160, 120, 60)",0.0005,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1593.7093853110673,-1579.226439776688,-1563.0072652031156,-1562.7917632915455,-1546.749461199329,-1569.096862956349,16.028901591123493,11
1805.3842372894287,262.814565671979,1.0430397033691405,0.2370893566338181,relu,5e-05,32,"(160, 120, 60)",0.0005,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.0005, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1593.7093853110673,-1579.226439776688,-1563.0072652031156,-1562.7917632915455,-1546.749461199329,-1569.096862956349,16.028901591123493,11
946.9853131294251,163.585393499203,0.8783915042877197,0.120986632020517,relu,5e-05,35,"(150, 100, 50)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1562.1608015397817,-1563.5801232418519,-1612.1016438434633,-1551.7559018919374,-1572.744700862478,-1572.4686342759026,20.905147629570244,13
934.2257983207703,166.7525154581644,0.9114600658416748,0.14644497403314138,relu,5e-05,35,"(150, 100, 50)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1562.1608015397817,-1563.5801232418519,-1612.1016438434633,-1551.7559018919374,-1572.744700862478,-1572.4686342759026,20.905147629570244,13
1108.831779050827,244.4419061454316,0.8833139896392822,0.11318645377377141,relu,5e-05,32,"(160, 120, 60)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1594.0924105974443,-1592.5450393137114,-1563.56205057328,-1532.4825702453493,-1584.3134961229775,-1573.3991133705524,23.172544474019013,15
1103.9479789733887,229.80622846062943,0.8820603847503662,0.07849837296548762,relu,5e-05,32,"(160, 120, 60)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1594.0924105974443,-1592.5450393137114,-1563.56205057328,-1532.4825702453493,-1584.3134961229775,-1573.3991133705524,23.172544474019013,15
1097.4723701953887,244.28381159260158,0.9407669544219971,0.07638550189370223,relu,0.0001,32,"(160, 120, 60)",0.001,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1569.8813262720475,-1550.8644466703556,-1554.8472834656372,-1589.0108372230502,-1602.9682021499855,-1573.5144191562154,19.911538754962542,17
1102.4942511081695,240.04680942608442,1.450754451751709,0.45142694199217936,relu,0.0001,32,"(160, 120, 60)",0.001,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 0.0001, 'nn__batch_size': 32, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.001, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1569.8813262720475,-1550.8644466703556,-1554.8472834656372,-1589.0108372230502,-1602.9682021499855,-1573.5144191562154,19.911538754962542,17
641.4740630149842,82.94971948805025,0.7729942321777343,0.03262523334625909,relu,5e-05,35,"(160, 120, 60)",0.002,650,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 650, 'nn__solver': 'adam'}",-1537.7524169894243,-1597.6631152468476,-1596.191826875143,-1589.9420782690647,-1552.1111789152515,-1574.7321232591464,24.88733735470588,19
654.5568057537079,88.4853204217352,0.7449548721313477,0.04215230833405036,relu,5e-05,35,"(160, 120, 60)",0.002,500,adam,"{'nn__activation': 'relu', 'nn__alpha': 5e-05, 'nn__batch_size': 35, 'nn__hidden_layer_sizes': (160, 120, 60), 'nn__learning_rate_init': 0.002, 'nn__max_iter': 500, 'nn__solver': 'adam'}",-1537.7524169894243,-1597.6631152468476,-1596.191826875143,-1589.9420782690647,-1552.1111789152515,-1574.7321232591464,24.88733735470588,19
