mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn__solver,param_nn__max_iter,param_nn__learning_rate_init,param_nn__hidden_layer_sizes,param_nn__batch_size,param_nn__alpha,param_nn__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23.205818033218385,3.3838928373859423,0.4644460201263428,0.034165860080707,sgd,1000,0.01,"(50,)",64,0.01,tanh,"{'nn__solver': 'sgd', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.01, 'nn__hidden_layer_sizes': (50,), 'nn__batch_size': 64, 'nn__alpha': 0.01, 'nn__activation': 'tanh'}",-3472.329028862421,-3602.626064351107,-3571.478355200757,-3577.6973406880147,-3757.1024254373797,-3596.246642907936,91.90038035898873,13
182.5731152534485,43.37767523700803,0.7435476779937744,0.17167901729657142,adam,1000,0.1,"(100, 50, 25)",128,0.1,tanh,"{'nn__solver': 'adam', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (100, 50, 25), 'nn__batch_size': 128, 'nn__alpha': 0.1, 'nn__activation': 'tanh'}",-7056.507973117445,-3008.8074044073032,-3027.4475007192277,-2934.501086861786,-2861.545260319139,-3777.7618450849795,1640.4255701400136,14
147.0041886806488,73.68033239257984,0.6643939018249512,0.03600219771141946,adam,500,0.1,"(100, 50)",128,0.001,tanh,"{'nn__solver': 'adam', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (100, 50), 'nn__batch_size': 128, 'nn__alpha': 0.001, 'nn__activation': 'tanh'}",-2242.0944457153805,-2245.725431116258,-6966.223830660126,-6993.938829169692,-2225.826994803796,-4134.761906293051,2323.219779643382,15
88.48754320144653,18.40006039699828,0.9355687618255615,0.10881210152559254,sgd,1000,0.01,"(100, 100)",128,0.1,tanh,"{'nn__solver': 'sgd', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.01, 'nn__hidden_layer_sizes': (100, 100), 'nn__batch_size': 128, 'nn__alpha': 0.1, 'nn__activation': 'tanh'}",-3954.2880435177726,-3706.319564546337,-4565.8543362229175,-5458.189472461036,-5012.737103162907,-4539.477703982195,648.8915045222054,16
42.138186883926394,12.252875539575683,0.7795557498931884,0.2299946720848823,sgd,1000,0.01,"(100, 100)",256,0.001,tanh,"{'nn__solver': 'sgd', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.01, 'nn__hidden_layer_sizes': (100, 100), 'nn__batch_size': 256, 'nn__alpha': 0.001, 'nn__activation': 'tanh'}",-5241.620472101951,-3730.3796306814343,-5178.350650182045,-4644.226918867933,-5565.854025075691,-4872.086339381812,642.9744985979737,17
32.53921785354614,10.083778134359054,0.5199406623840332,0.018626456611266388,sgd,500,0.01,"(50, 25)",128,0.01,tanh,"{'nn__solver': 'sgd', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.01, 'nn__hidden_layer_sizes': (50, 25), 'nn__batch_size': 128, 'nn__alpha': 0.01, 'nn__activation': 'tanh'}",-4409.713151638635,-4241.929301276154,-6975.729583075994,-4716.404563034873,-4699.37155700222,-5008.629631205576,999.7048177323829,18
119.60640773773193,48.17268221769101,0.7225725650787354,0.039385608540542495,adam,500,0.1,"(100, 100)",256,0.01,tanh,"{'nn__solver': 'adam', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (100, 100), 'nn__batch_size': 256, 'nn__alpha': 0.01, 'nn__activation': 'tanh'}",-2023.8961162030037,-7058.609964756151,-6974.379530485319,-6991.008976063162,-2037.0769060016532,-5016.9942987018585,2438.6401873714494,19
154.99515056610107,46.496719266034134,0.8978335857391357,0.027798405135083835,sgd,500,0.01,"(150, 100, 50)",64,0.001,tanh,"{'nn__solver': 'sgd', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.01, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__batch_size': 64, 'nn__alpha': 0.001, 'nn__activation': 'tanh'}",-6936.395569589025,-7079.233600787677,-7000.465882168601,-5362.834203016368,-4836.23526176593,-6243.032903465521,949.4753780027036,20
3356.802928352356,62.642631697661706,0.7768867492675782,0.2242295731643166,adam,1000,0.001,"(150, 100, 50)",128,0.1,tanh,"{'nn__solver': 'adam', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.001, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__batch_size': 128, 'nn__alpha': 0.1, 'nn__activation': 'tanh'}",-7013.351359762375,-6996.544620499262,-6914.251226984064,-6922.768226857628,-7000.638851004703,-6969.510857021606,42.09576283730564,21
2757.778974914551,16.213322656999104,1.2355783939361573,0.08704492491126128,adam,500,0.001,"(150, 100, 50)",128,0.0001,tanh,"{'nn__solver': 'adam', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.001, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__batch_size': 128, 'nn__alpha': 0.0001, 'nn__activation': 'tanh'}",-7661.932668596032,-7588.706728086288,-7474.145503671988,-7487.052229152664,-7561.721444759664,-7554.711714853327,68.94903994829613,22
2177.6261047840117,66.05512797859205,0.9435869693756104,0.06329403447674044,adam,1000,0.001,"(100, 50, 25)",256,0.1,tanh,"{'nn__solver': 'adam', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.001, 'nn__hidden_layer_sizes': (100, 50, 25), 'nn__batch_size': 256, 'nn__alpha': 0.1, 'nn__activation': 'tanh'}",-11520.778755875377,-11446.746674855052,-11339.028904709356,-11344.745294973161,-11367.852385668375,-11403.830403216263,70.00489344691663,23
5.787838745117187,0.3737359841592171,0.0,0.0,sgd,500,0.1,"(100,)",64,0.001,relu,"{'nn__solver': 'sgd', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (100,), 'nn__batch_size': 64, 'nn__alpha': 0.001, 'nn__activation': 'relu'}",,,,,,,,24
5.059406709671021,0.05710927825372609,0.0,0.0,sgd,1000,0.001,"(50,)",128,0.001,relu,"{'nn__solver': 'sgd', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.001, 'nn__hidden_layer_sizes': (50,), 'nn__batch_size': 128, 'nn__alpha': 0.001, 'nn__activation': 'relu'}",,,,,,,,24
5.49215407371521,0.3741568516141619,0.0,0.0,sgd,1000,0.1,"(100,)",256,0.0001,relu,"{'nn__solver': 'sgd', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (100,), 'nn__batch_size': 256, 'nn__alpha': 0.0001, 'nn__activation': 'relu'}",,,,,,,,24
11.001480102539062,0.7473619586560987,0.0,0.0,sgd,1000,0.01,"(150, 100, 50)",64,0.001,relu,"{'nn__solver': 'sgd', 'nn__max_iter': 1000, 'nn__learning_rate_init': 0.01, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__batch_size': 64, 'nn__alpha': 0.001, 'nn__activation': 'relu'}",,,,,,,,24
30.24545211791992,18.46217424906795,0.3216958999633789,0.26488010279343926,sgd,500,0.1,"(50, 25)",32,0.1,relu,"{'nn__solver': 'sgd', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (50, 25), 'nn__batch_size': 32, 'nn__alpha': 0.1, 'nn__activation': 'relu'}",-7125.785722169754,-7056.283376586584,,,-7013.429230067659,,,24
5.879483890533447,0.028706020647704666,0.0,0.0,sgd,500,0.1,"(150,)",64,0.1,relu,"{'nn__solver': 'sgd', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (150,), 'nn__batch_size': 64, 'nn__alpha': 0.1, 'nn__activation': 'relu'}",,,,,,,,24
9.920945119857787,0.31632736743596557,0.0,0.0,sgd,500,0.1,"(150, 100, 50)",32,0.001,relu,"{'nn__solver': 'sgd', 'nn__max_iter': 500, 'nn__learning_rate_init': 0.1, 'nn__hidden_layer_sizes': (150, 100, 50), 'nn__batch_size': 32, 'nn__alpha': 0.001, 'nn__activation': 'relu'}",,,,,,,,24
