,Model,Train_MAE,Val_MAE,Val_MAE_std,Train_RMSE,Val_RMSE,Train_R2,Val_R2
0,Linear Regression,2854.2132285571342,2857.1904067796254,22.21872006443915,4528.67990345018,4531.33884275896,0.7836645094651489,0.7833419339473389
1,Ridge Regression,2854.0224910368956,2856.9943879684884,22.166937276335176,4528.704818191803,4531.351225878288,0.7836621292208525,0.7833407879649941
2,Decision Tree (tuned),1295.7343013301725,1645.2195706571845,22.281514684475297,2548.8193972395384,3045.836664498813,0.9314700871600176,0.9019450493418256
3,Random Forest (tuned),650.6056167291579,1383.076583744191,12.505615450319857,1153.7755570837176,2443.179543557356,0.9859570058217116,0.936939136197138
4,Neural Network (tuned),1351.6621488458313,1527.6655488108895,39.908443335219445,2195.5481305542316,2629.205836678482,0.9490714640729928,0.9268846791752186
